word,index
suruh,573
our,574
memissile,575
indosat,576
polres,577
asik,578
juara,579
banya,580
malu,581
antre,582
stop,583
why,584
keras,585
pulang,586
drama,587
vs,588
kue,589
duit,590
kambing,591
menuclear,592
strike,593
pasar,594
mie,595
kepala,596
kotor,597
generasi,598
saus,599
macet,600
gagal,601
anggap,602
sedih,603
santap,604
after,605
pergi,606
tidak_enak,607
jaman,608
lembang,609
selera,610
diam,611
demokrat,612
dana,613
asin,614
upaya,615
cina,616
jamin,617
saung,618
empuk,619
daya,620
maaf,621
tolak,622
rusak,623
musik,624
pekerja,625
waspada,626
kamtibmas,627
dinasti,628
mobil,629
layak,630
saran,631
hubung,632
memkmk,633
tni,634
over,635
besok,636
gelar,637
bingung,638
perintah,639
timur,640
merah,641
potong,642
komitmen,643
biaya,644
order,645
sg,646
putar,647
interior,648
memilitary,649
relatif,650
situasi,651
plus,652
nasional,653
sambang,654
umur,655
era,656
gaji,657
cerita,658
kenyang,659
desain,660
tolol,661
kak,662
kaum,663
identitas,664
kaki,665
inap,666
integritas,667
lulus,668
jalur,669
did,670
akses,671
cantik,672
bahan,673
subianto,674
bu,675
stunting,676
tanggal,677
cak,678
cuman,679
aksi,680
rendah,681
lepas,682
wa,683
bebek,684
kepiting,685
pindah,686
cabang,687
bak,688
been,689
sapi,690
menit,691
pribadi,692
were,693
contoh,694
kondusif,695
putih,696
tangis,697
anwar,698
eropa,699
miskin,700
wkwk,701
hoax,702
my,703
fasilitas,704
masak,705
surabaya,706
sosok,707
deklarasi,708
kirim,709
bosan,710
anti,711
ringan,712
debat,713
udang,714
patroli,715
sd,716
tuhan,717
also,718
cek,719
cerdas,720
raja,721
netralitas,722
sejahtera,723
alhamdulillah,724
sosialisasi,725
gula,726
pintar,727
cegah,728
orangorang,729
budaya,730
awas,731
sadar,732
posisi,733
situ,734
belanja,735
stroberi,736
bohong,737
tidur,738
minimal,739
lokal,740
paksa,741
bakmi,742
solusi,743
capek,744
selasa,745
bahaya,746
padang,747
obat,748
zionist,749
sahabat,750
sarap,751
gagas,752
rapat,753
asam,754
tokoh,755
which,756
leader,757
wisata,758
pelajar,759
lapar,760
back,761
bahasa,762
time,763
menews,764
fpi,765
simak,766
kesan,767
muas,768
bambu,769
amerika,770
perhati,771
even,772
cita,773
fakta,774
sop,775
muka,776
patut,777
perkara,778
senin,779
bola,780
jahat,781
alat,782
ganjarmahfud,783
yb,784
piring,785
lancar,786
power,787
sederhana,788
gabung,789
aktivitas,790
usia,791
donasi,792
november,793
kampus,794
lucu,795
pisang,796
sesal,797
langkah,798
tagih,799
kad,800
pasta,801
buzzer,802
bank,803
gol,804
asia,805
kantong,806
gede,807
netral,808
pilkada,809
sumpah,810
dollar,811
akun,812
tulis,813
sidang,814
free,815
serius,816
bom,817
emas,818
want,819
pro,820
chicken,821
pacar,822
gurame,823
lapor,824
goblok,825
pelanggar,826
anjir,827
super,828
between,829
australia,830
memiddle,831
oh,832
libat,833
bhabinkamtibmas,834
persen,835
kelompok,836
polisi,837
memoney,838
go,839
any,840
provinsi,841
pinggir,842
dki,843
country,844
mundur,845
mantan,846
sumber,847
variatif,848
know,849
bbm,850
enakenak,851
serentak,852
kursi,853
darah,854
lampu,855
bunga,856
kunci,857
lingkung,858
sabar,859
nomor,860
ganggu,861
hujan,862
countries,863
kasihan,864
supreme,865
dont,866
akal,867
publik,868
demo,869
syria,870
lembaga,871
kader,872
sebelah,873
conflict,874
other,875
kembang,876
bija,877
into,878
tidak_salah,879
gambar,880
america,881
penasaran,882
system,883
bantai,884
me,885
tidak_kecewa,886
going,887
lolos,888
bahagia,889
put,890
get,891
pajak,892
bau,893
wajar,894
hitam,895
papua,896
hebat,897
regime,898
tari,899
jus,900
info,901
kacang,902
bai,903
usman,904
korea,905
perut,906
attacked,907
kadar,908
menkr,909
belanda,910
lho,911
jateng,912
memelaw,913
minyak,914
hai,915
pks,916
down,917
rokok,918
liwet,919
tanda,920
wkwkwk,921
bisnis,922
then,923
fitnah,924
halo,925
kosong,926
tubuh,927
good,928
muncul,929
being,930
think,931
sebar,932
adem,933
penyaji,934
dokter,935
swasta,936
andal,937
his,938
says,939
ahli,940
pekan,941
tata,942
asean,943
staf,944
sty,945
kecuali,946
logistik,947
perempuan,948
should,949
kagak,950
state,951
sibuk,952
sampah,953
survey,954
sisi,955
indomie,956
sempit,957
kes,958
ahok,959
suami,960
asri,961
peserta,962
non,963
kah,964
pecah,965
ah,966
derita,967
susu,968
bumi,969
pejuang,970
kristen,971
sila,972
asyik,973
angkat,974
kapai,975
east,976
informasi,977
genocide,978
waras,979
camat,980
prabowogibr,981
tidak_sesuai,982
menothing,983
tea,984
right,985
malas,986
warna,987
memulu,988
meriah,989
wow,990
mesti,991
jumat,992
hindar,993
samasama,994
konsumen,995
gembira,996
hijau,997
gampang,998
wanita,999
potensi,1000
bayang,1001
iga,1002
kawasan,1003
maksud,1004
nuansa,1005
weapons,1006
tantang,1007
puan,1008
hitung,1009
taman,1010
polda,1011
padu,1012
ilmu,1013
seri,1014
badan,1015
asn,1016
aktif,1017
mulut,1018
memuka,1019
keliling,1020
sengaja,1021
lembut,1022
citra,1023
istri,1024
dusun,1025
gemar,1026
sepi,1027
senjata,1028
ok,1029
ramen,1030
babak,1031
teroris,1032
peran,1033
unggul,1034
aid,1035
terrorist,1036
pesta,1037
gedung,1038
long,1039
kalang,1040
telur,1041
tidak_pakai,1042
had,1043
senyum,1044
target,1045
salam,1046
tembus,1047
toko,1048
musuh,1049
both,1050
buntut,1051
utara,1052
tamu,1053
tampil,1054
afood,1055
same,1056
tinda,1057
spicy,1058
these,1059
kesal,1060
lapang,1061
bidang,1062
ar,1063
periode,1064
tidak_pilih,1065
while,1066
pelatih,1067
tipu,1068
sipil,1069
impor,1070
model,1071
kubu,1072
tanggung,1073
efek,1074
entar,1075
pegang,1076
pelangg,1077
ancam,1078
terjun,1079
betah,1080
tidak_tidak,1081
golong,1082
new,1083
halal,1084
varian,1085
ide,1086
menetanyahu,1087
timbal,1088
does,1089
terang,1090
tidak_sesal,1091
rapi,1092
pasal,1093
sawah,1094
pengaruh,1095
rugi,1096
rencana,1097
malang,1098
tertib,1099
elektabilitas,1100
selatan,1101
catat,1102
nai,1103
kendara,1104
tema,1105
tidak_lihat,1106
tentara,1107
embang,1108
om,1109
way,1110
heran,1111
memost,1112
tidak_percaya,1113
musim,1114
himbau,1115
krim,1116
menext,1117
pelaksana,1118
global,1119
sejal,1120
response,1121
dato,1122
sungai,1123
reformasi,1124
kinerja,1125
mohon,1126
alias,1127
kolam,1128
caleg,1129
jiwa,1130
kedai,1131
pangsit,1132
spesial,1133
am,1134
aga,1135
sektor,1136
misi,1137
al,1138
paslon,1139
petugas,1140
dikit,1141
kfc,1142
md,1143
gantung,1144
ratus,1145
food,1146
sea,1147
pintu,1148
riau,1149
ratarata,1150
tekan,1151
attacks,1152
panggil,1153
balas,1154
modal,1155
ada,1156
fight,1157
coklat,1158
suku,1159
peluang,1160
karya,1161
penyebab,1162
bekas,1163
total,1164
tidak_jelas,1165
langgar,1166
usir,1167
could,1168
prioritas,1169
narasi,1170
tidak_istimewa,1171
film,1172
psi,1173
kartu,1174
hormat,1175
pasu,1176
memany,1177
koalisi,1178
dorong,1179
utang,1180
klaim,1181
pakar,1182
duga,1183
sh,1184
menever,1185
kulit,1186
anggar,1187
kangkung,1188
kaya,1189
drones,1190
wib,1191
take,1192
prestasi,1193
tuberkulosis,1194
lahir,1195
jarang,1196
gas,1197
gera,1198
dar,1199
buku,1200
dosen,1201
meneed,1202
roket,1203
siomay,1204
khamene,1205
tenaga,1206
americ,1207
piala,1208
ulama,1209
inggris,1210
iraq,1211
cenderung,1212
upa,1213
full,1214
lalap,1215
syarat,1216
pemuda,1217
hutang,1218
lainla,1219
je,1220
bi,1221
mcd,1222
tegak,1223
islamic,1224
lauk,1225
katz,1226
pki,1227
relawan,1228
syukur,1229
youtube,1230
fotofoto,1231
terap,1232
real,1233
wifi,1234
halaman,1235
prakira,1236
beef,1237
memesir,1238
kirab,1239
etika,1240
rica,1241
modern,1242
rubah,1243
segi,1244
memuch,1245
kangen,1246
peace,1247
kakak,1248
lelah,1249
jaya,1250
bubar,1251
buang,1252
bro,1253
